名稱,地址,電話,營業時間,備註
香香臭豆腐蔬食鹽酥g【純素、蛋奶】,台南市中西區金華路三段40號,"",15:00-23:00,週日公休
欣恬素食塩酥G,台南市北區北安路一段142巷口(與育賢街交叉紅綠燈旁),0963-463167,16:00-22:00,
紫蓮素食鹽酥齏【純素、蛋奶】,台南市北區西門路四段298號,06-2829873,16:30-22:00,一、二、四公休，遇初一、十五照常營業
常啼鹽蔬g（素食）【純素、蛋奶】,台南市佳里區安南路578號(佳里國中斜對面),06-7236017,15:00-21:00,週四公休
素巧香酥積【純素、蛋奶】,台南市東區東門路二段140號,0916-813608、0979-075578,週一到週四15:00-21:00 五六15:00-22:00,週日及隔週週一公休
普耕寶荳素食小館 - 台南崇道本鋪,台南市東區崇道路27，29號,06-2680222,11:00-14:00、17:00-22:00,週一公休
七味薯條【純素、蛋奶】,台南市東區裕農路145號,0982-377191,15:00-22:00,
台南素食鹹酥雞【蛋奶】,台南市南區金華路一段41號,06-2643405,15:00-22:00,週一公休
健康素食坊【純素、蛋奶】,台南市麻豆區中山路167-1號,0958-873873,11:30-13:00、15:30-23:00,
廣結緣素食,台南市永康區永大路二段102號,06-2058178,11:00-21:00,
味豐素食滷味鹹酥專賣店,高雄市三民區大昌二路240號,0938-515096、0913-198988、0912-165558,16:30-00:30,
炸素 【蔬食素料鹹酥炸物】【純素、蛋奶】,高雄市三民區大豐一路185號,0916-367006,15:30-20:30,
素食滷味鹽酥【純素、奶素】,高雄市三民區自立一路369號(自立一路和十全二路口),07-3232660,11:30-14:00、16:00-20:00,週一公休，遇初一十五照常營業
富美素滷味塩酥雞【純素、蛋奶】,高雄市三民區建興路436號,"",16:00-23:00,週二公休，遇初一十五順延
素食王鹹酥雞【蛋奶】,高雄市三民區熱河一街57號(山東街和民族路的中間),07-3221738,17:00-23:00,雙週週六公休
彥韶素食鹹酥雞,高雄市大寮區大寮路717號,0938-635056,15:00-00:00,週日公休
素食新食代【純素、蛋奶】,高雄市小港區宏平路516號,07-8011063、0968-600182,16:00-22:30,週一公休
素食鹹酥雞【純素、蛋奶】,高雄市小港區桂陽路311號騎樓下,0972-327395,16:30-23:30,
祥林養生蔬食【純素】,高雄市左營區自由三路自由黃昏市場F區63號,0981-358892,14:00-19:00,週四公休
炸遍食堂(素食鹹酥雞)【蛋奶】,高雄市左營區華夏路328-1號 (全家超商對角方向),0981-044395,16:00-23:00,週一公休，遇初一十五順延
旺久素食時蔬 滷味。鹹酥g【蛋奶】,高雄市岡山區介壽西路122號,0919-500278,16:30-22:30,週一公休
魔豆娃娃遇見蔬食鹹酥G【純素、蛋奶】,高雄市阿蓮區中正路325號,07-6321991,10:00-21:00,(炸物13:00開始)
素的滷味六合店【純素、蛋奶】,高雄市前金區瑞源路86號,07-2853968,16:00-00:00,週日公休
晨昕素食鹽酥雞【純素、蛋奶】,高雄市前鎮區同安路68號,0900-116093,17:00-23:00,
素食蓮鹹酥雞【蛋奶】,高雄市苓雅區忠孝二路97號旁(與苓雅一路交叉),07-3302253,13:00-22:00,
善鼎豐素食 滷味.鹹酥積 (武廟總店)【純素、奶素】,高雄市苓雅區武廟路69-1號,07-7239845,11:00-23:45,
嬿評素食堂燒烤【純素、蛋素、奶素】,高雄市苓雅區建國一路249號 (道明中學斜對面),07-2250112,平日16:00-24:00 假日11:30-14:00、16:00-24:00,二三公休
善鼎豐素食館苓雅店【純素、蛋奶】,高雄市苓雅區苓雅二路82-4號,07-2692259,11:00-14:00、16:30-20:00,
三金素食鹹酥雞【純素、蛋奶】,高雄市新興區南台路88號,07-2869939,16:00-02:00,
楠梓後勁 素食 炸 滷味（後勁夜市旁）【純素、蛋奶】,高雄市楠梓區加昌路(楠梓加工區麥當勞附近),0982-524582,16:30-23:30,
藝萊蔬食【純素】,高雄市楠梓區楠梓新路384-1號﻿,07-3530517,11:00-14:00、17:00-21:30﻿,
素食鹹酥雞,高雄市鼓山區裕誠路1585號,0982-687931,16:00-23:00,週日公休
結善緣素食滷味-鹹酥積(華泰店)【純素、蛋奶】,高雄市鼓山區榮路547號,07-5504577,14:00-21:30,一二公休
蔬福素食《滷味，鹹酥g，臭豆腐》,高雄市鳳山區八德路298號,0932-595545,16:30-23:00,
美味素食館 【純素、蛋奶】,高雄市鳳山區中正路169-1號,07-7469158,11:00-23:00,
昱川全素食綜合燒烤【蛋奶】,高雄市鳳山區體育路1號,07-7195988,11:30-22:30,週二公休，遇初一 十五順延
素的滷味(總店)【純素、蛋奶】,高雄市鹽埕區建國四路260-1號,07-5320095,16:00-23:00,週日公休
東港第一家素食鹽酥雞,屏東縣東港鎮新生一路30-6號右邊,0934-295663,15:30-22:00,
鼎湘素食鹽酥雞(總店),屏東縣屏東市大連路29-1號,08-7627523,15:30-23:30,
福心圓素食鹹酥雞【純素、蛋奶】,屏東縣屏東市和平路243巷12號,0927-731990,14:30-23:00,
圓味素食滷味鹽酥G【純素】,屏東縣屏東市瑞光路一段383號,08-7361846,16:00-22:30,週三公休
王素食鹽酥G【純素、蛋素】,屏東縣屏東市廣東路114-1號 (大眾銀行斜對面),0916-2866887,15:30-23:00,
潮州中林素食館【純素、蛋奶】,屏東縣潮州鎮文化路30號,08-7807220、0916-255197,6:00-13:00,農曆初二、十六、週日公休，初一、十五正常營業
璞·食蔬食滷味【純素、蛋奶】,屏東縣潮州鎮清水路2-3號,0986-650862,19:00~22:30,(初一十五17:30-10:30) 週一公休
澎旺素食塩酥g【純素、蛋奶】,澎湖縣馬公市貿商街21號,06-9265021,17:30-22:30,
